1;1;
3;0;
6;0;
11;0;
19;0;
32;0;
53;0;
87;0;
142;0;
231;0;
375;0;
608;0;
985;1;
1595;2;
2582;4;
4179;4;
6763;9;
10944;15;
17709;25;
28655;45;
28656;0;
28658;0;
28661;0;
28666;0;
28674;0;
28687;0;
28708;0;
28742;0;
28797;0;
28886;0;
29030;0;
29263;1;
29640;2;
30250;2;
31237;6;
32834;7;
35418;11;
39599;16;
46364;33;
57310;51;
57311;0;
57313;0;
57316;0;
57321;0;
57329;0;
57342;0;
57363;0;
57397;0;
57452;0;
57541;0;
57685;0;
57918;1;
58295;1;
58905;2;
59892;6;
61489;7;
64073;22;
68254;18;
75019;35;
85965;37;
85966;0;
85968;0;
85971;0;
85976;0;
85984;0;
85997;0;
86018;0;
86052;0;
86107;0;
86196;0;
86340;0;
86573;0;
86950;1;
87560;3;
88547;3;
90144;4;
92728;8;
96909;12;
103674;23;
114620;36;
114621;0;
114623;0;
114626;0;
114631;0;
114639;0;
114652;0;
114673;0;
114707;0;
114762;0;
114851;0;
114995;0;
115228;0;
115605;1;
116215;3;
117202;2;
118799;4;
121383;8;
125564;19;
132329;32;
143275;35;
143276;0;
143278;0;
143281;0;
143286;0;
143294;0;
143307;0;
143328;0;
143362;0;
143417;0;
143506;0;
143650;0;
143883;0;
144260;1;
144870;4;
145857;3;
147454;5;
150038;8;
154219;12;
160984;30;
171930;36;
171931;0;
171933;0;
171936;0;
171941;0;
171949;0;
171962;0;
171983;0;
172017;0;
172072;0;
172161;0;
172305;0;
172538;0;
172915;1;
173525;1;
174512;3;
176109;4;
178693;8;
182874;14;
189639;28;
200585;39;
200586;0;
200588;0;
200591;0;
200596;0;
200604;0;
200617;0;
200638;0;
200672;0;
200727;0;
200816;0;
200960;0;
201193;0;
201570;1;
202180;1;
203167;3;
204764;5;
207348;10;
211529;14;
218294;24;
229240;35;
229241;0;
229243;0;
229246;0;
229251;0;
229259;0;
229272;0;
229293;0;
229327;0;
229382;0;
229471;0;
229615;0;
229848;1;
230225;1;
230835;1;
231822;2;
233419;5;
236003;8;
240184;14;
246949;22;
257895;58;
257896;0;
257898;0;
257901;0;
257906;0;
257914;0;
257927;0;
257948;0;
257982;0;
258037;0;
258126;0;
258270;0;
258503;0;
258880;1;
259490;1;
260477;2;
262074;5;
264658;8;
268839;13;
275604;24;
286550;35;
